"filename", "language", "JavaScript", "CSS", "HTML", "JSON", "comment", "blank", "total"
"c:\Users\ctuwa\Documents\Self_Learning+++++++++++++++++\Mern_Stack_Front_Back_Nodejs_React_Redux\devconnector\client\public\index.html", "HTML", 0, 0, 18, 0, 0, 5, 23
"c:\Users\ctuwa\Documents\Self_Learning+++++++++++++++++\Mern_Stack_Front_Back_Nodejs_React_Redux\devconnector\client\public\manifest.json", "JSON", 0, 0, 0, 25, 0, 1, 26
"c:\Users\ctuwa\Documents\Self_Learning+++++++++++++++++\Mern_Stack_Front_Back_Nodejs_React_Redux\devconnector\client\src\App.css", "CSS", 0, 475, 0, 0, 17, 104, 596
"c:\Users\ctuwa\Documents\Self_Learning+++++++++++++++++\Mern_Stack_Front_Back_Nodejs_React_Redux\devconnector\client\src\App.js", "JavaScript", 47, 0, 0, 0, 2, 4, 53
"c:\Users\ctuwa\Documents\Self_Learning+++++++++++++++++\Mern_Stack_Front_Back_Nodejs_React_Redux\devconnector\client\src\actions\alert.js", "JavaScript", 10, 0, 0, 0, 0, 3, 13
"c:\Users\ctuwa\Documents\Self_Learning+++++++++++++++++\Mern_Stack_Front_Back_Nodejs_React_Redux\devconnector\client\src\actions\auth.js", "JavaScript", 81, 0, 0, 0, 4, 13, 98
"c:\Users\ctuwa\Documents\Self_Learning+++++++++++++++++\Mern_Stack_Front_Back_Nodejs_React_Redux\devconnector\client\src\actions\profile.js", "JavaScript", 48, 0, 0, 0, 4, 9, 61
"c:\Users\ctuwa\Documents\Self_Learning+++++++++++++++++\Mern_Stack_Front_Back_Nodejs_React_Redux\devconnector\client\src\actions\types.js", "JavaScript", 12, 0, 0, 0, 0, 1, 13
"c:\Users\ctuwa\Documents\Self_Learning+++++++++++++++++\Mern_Stack_Front_Back_Nodejs_React_Redux\devconnector\client\src\components\auth\Login.js", "JavaScript", 66, 0, 0, 0, 9, 11, 86
"c:\Users\ctuwa\Documents\Self_Learning+++++++++++++++++\Mern_Stack_Front_Back_Nodejs_React_Redux\devconnector\client\src\components\auth\Register.js", "JavaScript", 93, 0, 0, 0, 34, 10, 137
"c:\Users\ctuwa\Documents\Self_Learning+++++++++++++++++\Mern_Stack_Front_Back_Nodejs_React_Redux\devconnector\client\src\components\dashboard\Dashboard.js", "JavaScript", 48, 0, 0, 0, 0, 6, 54
"c:\Users\ctuwa\Documents\Self_Learning+++++++++++++++++\Mern_Stack_Front_Back_Nodejs_React_Redux\devconnector\client\src\components\dashboard\DashboardActions.js", "JavaScript", 18, 0, 0, 0, 0, 3, 21
"c:\Users\ctuwa\Documents\Self_Learning+++++++++++++++++\Mern_Stack_Front_Back_Nodejs_React_Redux\devconnector\client\src\components\layout\Alert.js", "JavaScript", 17, 0, 0, 0, 0, 5, 22
"c:\Users\ctuwa\Documents\Self_Learning+++++++++++++++++\Mern_Stack_Front_Back_Nodejs_React_Redux\devconnector\client\src\components\layout\Landing.js", "JavaScript", 39, 0, 0, 0, 0, 4, 43
"c:\Users\ctuwa\Documents\Self_Learning+++++++++++++++++\Mern_Stack_Front_Back_Nodejs_React_Redux\devconnector\client\src\components\layout\Navbar.js", "JavaScript", 65, 0, 0, 0, 0, 4, 69
"c:\Users\ctuwa\Documents\Self_Learning+++++++++++++++++\Mern_Stack_Front_Back_Nodejs_React_Redux\devconnector\client\src\components\layout\Spinner.js", "JavaScript", 11, 0, 0, 0, 0, 2, 13
"c:\Users\ctuwa\Documents\Self_Learning+++++++++++++++++\Mern_Stack_Front_Back_Nodejs_React_Redux\devconnector\client\src\components\profile-forms\CreateProfile.js", "JavaScript", 212, 0, 0, 0, 0, 15, 227
